match_id,date,venue,winner,loser,margin,margin_type,winner_rating,loser_rating,winner_expected,rating_change,winner_xi_size,loser_xi_size
951333,2016-03-16,Eden Gardens,Pakistan,Bangladesh,55,runs,1499.7779945104148,1498.0024345770814,0.5025552139016423,23.87734973272117,10,11
951337,2016-03-18,Himachal Pradesh Cricket Association Stadium,New Zealand,Australia,8,runs,1501.4103323606482,1498.7839631767167,0.5037795770904261,15.879053533106365,11,11
951339,2016-03-18,Wankhede Stadium,England,South Africa,2,wickets,1496.5205382237023,1500.5544878976382,0.4941949406111327,16.18576190044375,11,11
951341,2016-03-19,Eden Gardens,India,Pakistan,6,wickets,1503.2353333873207,1501.5741780474389,0.5023905764857411,23.885252328684423,11,11
951345,2016-03-20,M Chinnaswamy Stadium,West Indies,Sri Lanka,7,wickets,1503.575645383344,1503.6530697412024,0.4998885773941947,24.005348285078654,9,11
951347,2016-03-21,M Chinnaswamy Stadium,Australia,Bangladesh,3,wickets,1497.4716447029066,1496.542694683874,0.5013368633555492,19.14866444714691,11,11
951349,2016-03-22,"Punjab Cricket Association IS Bindra Stadium, Mohali",New Zealand,Pakistan,22,runs,1502.8538826818397,1499.6406201968603,0.5046241245953867,19.02243361553715,11,11
951353,2016-03-23,M Chinnaswamy Stadium,India,Bangladesh,1,runs,1505.4067199626554,1494.3737010669079,0.5158724555327446,15.492081422952172,11,11
951357,2016-03-25,"Vidarbha Cricket Association Stadium, Jamtha",West Indies,South Africa,3,wickets,1505.544625882782,1499.3457739685693,0.5089199185425577,18.857475127965785,11,11
951355,2016-03-25,"Punjab Cricket Association IS Bindra Stadium, Mohali",Australia,Pakistan,21,runs,1498.5124710046448,1498.0685182451632,0.50063889903101,19.175466277209214,10,11
951359,2016-03-26,Eden Gardens,New Zealand,Bangladesh,75,runs,1503.8045027055034,1492.9653300284576,0.5155937646183262,23.251499298320343,11,11
951361,2016-03-26,Feroz Shah Kotla,England,Sri Lanka,10,runs,1498.0548004213124,1500.9791170582096,0.49579166944262354,19.361599893403255,11,11
