match_id,date,venue,winner,loser,margin,margin_type,winner_rating_before,winner_rating_after,winner_change,loser_rating_before,loser_rating_after,loser_change,winner_expected
682899,2014-03-16,Zahur Ahmed Chowdhury Stadium,Nepal,Hong Kong,80,runs,1500.0,1524.0,24.0,1500.0,1476.0,-24.0,0.5
682901,2014-03-17,Sylhet Stadium,Ireland,Zimbabwe,3,wickets,1500.0,1519.2,19.2,1500.0,1480.8,-19.2,0.5
682903,2014-03-17,Sylhet Stadium,Netherlands,United Arab Emirates,6,wickets,1500.0,1524.0,24.0,1500.0,1476.0,-24.0,0.5
682907,2014-03-18,Zahur Ahmed Chowdhury Stadium,Bangladesh,Nepal,8,wickets,1500.0,1525.6552293468878,25.65522934688791,1524.0,1498.3447706531122,-25.65522934688791,0.46551605527316847
682909,2014-03-19,Sylhet Stadium,Zimbabwe,Netherlands,5,wickets,1480.8,1502.3750929108119,21.57509291081195,1524.0,1502.424907089188,-21.57509291081195,0.43814862211427213
682911,2014-03-19,Sylhet Stadium,Ireland,United Arab Emirates,21,runs,1519.2,1536.024907089188,16.824907089188052,1476.0,1459.175092910812,-16.824907089188052,0.5618513778857278
682915,2014-03-20,Zahur Ahmed Chowdhury Stadium,Hong Kong,Bangladesh,2,wickets,1476.0,1494.2712646201917,18.271264620191772,1525.6552293468878,1507.3839647266961,-18.271264620191772,0.4290229806190071
682919,2014-03-21,Sylhet Stadium,Netherlands,Ireland,6,wickets,1502.424907089188,1528.7387040571648,26.313796967976767,1536.024907089188,1509.7111101212113,-26.313796967976767,0.451795896500484
682921,2014-03-21,Shere Bangla National Stadium,India,Pakistan,7,wickets,1500.0,1524.0,24.0,1500.0,1476.0,-24.0,0.5
682917,2014-03-21,Sylhet Stadium,Zimbabwe,United Arab Emirates,5,wickets,1502.3750929108119,1519.2,16.824907089188063,1459.175092910812,1442.3501858216239,-16.824907089188063,0.5618513778857275
682925,2014-03-22,Zahur Ahmed Chowdhury Stadium,New Zealand,England,9,runs,1500.0,1516.0,16.0,1500.0,1484.0,-16.0,0.5
682923,2014-03-22,Zahur Ahmed Chowdhury Stadium,Sri Lanka,South Africa,5,runs,1500.0,1516.0,16.0,1500.0,1484.0,-16.0,0.5
682929,2014-03-23,Shere Bangla National Stadium,India,West Indies,7,wickets,1524.0,1546.3447706531122,22.34477065311209,1500.0,1477.6552293468878,-22.34477065311209,0.5344839447268315
682927,2014-03-23,Shere Bangla National Stadium,Pakistan,Australia,16,runs,1476.0,1496.5241834775104,20.524183477510327,1500.0,1479.4758165224896,-20.524183477510327,0.46551605527316847
682931,2014-03-24,Zahur Ahmed Chowdhury Stadium,South Africa,New Zealand,2,runs,1484.0,1501.4695015289756,17.469501528975478,1516.0,1498.5304984710244,-17.469501528975478,0.4540780772195163
682933,2014-03-24,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Netherlands,9,wickets,1516.0,1540.8795643993199,24.8795643993198,1528.7387040571648,1503.859139657845,-24.8795643993198,0.48167574168083743
682935,2014-03-25,Shere Bangla National Stadium,West Indies,Bangladesh,73,runs,1477.6552293468878,1503.7038204381136,26.048591091225745,1507.3839647266961,1481.3353736354704,-26.048591091225745,0.4573210189327969
682939,2014-03-27,Zahur Ahmed Chowdhury Stadium,England,Sri Lanka,6,wickets,1484.0,1511.8943710714473,27.894371071447313,1540.8795643993199,1512.9851933278726,-27.894371071447313,0.4188672693448477
682937,2014-03-27,Zahur Ahmed Chowdhury Stadium,South Africa,Netherlands,6,runs,1501.4695015289756,1517.5795466963814,16.110045167405787,1503.859139657845,1487.7490944904391,-16.110045167405787,0.49656108851856917
682941,2014-03-28,Shere Bangla National Stadium,West Indies,Australia,6,wickets,1503.7038204381136,1526.0329167661266,22.32909632801311,1479.4758165224896,1457.1467201944765,-22.32909632801311,0.5348104931663935
682943,2014-03-28,Shere Bangla National Stadium,India,Bangladesh,8,wickets,1546.3447706531122,1565.9057646652338,19.560994012121615,1481.3353736354704,1461.7743796233488,-19.560994012121615,0.592479291414133
682947,2014-03-29,Zahur Ahmed Chowdhury Stadium,South Africa,England,3,runs,1517.5795466963814,1533.3177580482222,15.738211351840818,1511.8943710714473,1496.1561597196064,-15.738211351840818,0.5081808952549745
682945,2014-03-29,Zahur Ahmed Chowdhury Stadium,New Zealand,Netherlands,6,wickets,1498.5304984710244,1521.7859844287334,23.255485957708927,1487.7490944904391,1464.4936085327301,-23.255485957708927,0.5155107092143973
682951,2014-03-30,Shere Bangla National Stadium,India,Australia,73,runs,1565.9057646652338,1582.6290981019697,16.72333343673588,1457.1467201944765,1440.4233867577407,-16.72333343673588,0.6515972200680025
682949,2014-03-30,Shere Bangla National Stadium,Pakistan,Bangladesh,50,runs,1496.5241834775104,1518.1317244826082,21.607541005097715,1461.7743796233488,1440.166838618251,-21.607541005097715,0.549842895727131
682955,2014-03-31,Zahur Ahmed Chowdhury Stadium,Sri Lanka,New Zealand,59,runs,1512.9851933278726,1537.5930004464913,24.607807118618677,1521.7859844287334,1497.1781773101147,-24.607807118618677,0.48733735169544423
682953,2014-03-31,Zahur Ahmed Chowdhury Stadium,Netherlands,England,45,runs,1464.4936085327301,1490.6747452610834,26.181136728353206,1496.1561597196064,1469.9750229912531,-26.181136728353206,0.4545596514926415
682957,2014-04-01,Shere Bangla National Stadium,Australia,Bangladesh,7,wickets,1440.4233867577407,1464.4056650433129,23.982278285572143,1440.166838618251,1416.1845603326788,-23.982278285572143,0.5003692023839137
682959,2014-04-01,Shere Bangla National Stadium,West Indies,Pakistan,84,runs,1526.0329167661266,1549.4872158099274,23.454299043800887,1518.1317244826082,1494.6774254388074,-23.454299043800887,0.5113687699208148
682961,2014-04-03,Shere Bangla National Stadium,Sri Lanka,West Indies,27,runs,1537.5930004464913,1557.450042416603,19.857041970111855,1549.4872158099274,1529.6301738398156,-19.857041970111855,0.48288953202833707
682963,2014-04-04,Shere Bangla National Stadium,India,South Africa,6,wickets,1582.6290981019697,1603.2454807793672,20.616382677397567,1533.3177580482222,1512.7013753708247,-20.616382677397567,0.5704920275542174
682965,2014-04-06,Shere Bangla National Stadium,Sri Lanka,India,6,wickets,1557.450042416603,1584.595285307036,27.145242890432957,1603.2454807793672,1576.1002378889343,-27.145242890432957,0.43447410644931345
951311,2016-03-09,Himachal Pradesh Cricket Association Stadium,Oman,Ireland,2,wickets,1500.0,1516.447096722889,16.4470967228889,1509.7111101212113,1493.2640133983223,-16.4470967228889,0.48602822740972185
951309,2016-03-09,Himachal Pradesh Cricket Association Stadium,Bangladesh,Netherlands,8,runs,1416.1845603326788,1435.5633467903147,19.37878645763591,1490.6747452610834,1471.2959588034475,-19.37878645763591,0.39441292319887783
951313,2016-03-10,"Vidarbha Cricket Association Stadium, Jamtha",Zimbabwe,Scotland,11,runs,1519.2,1537.3400475634223,18.140047563422304,1500.0,1481.8599524365777,-18.140047563422304,0.5276029280358775
951323,2016-03-12,"Vidarbha Cricket Association Stadium, Jamtha",Scotland,Hong Kong,8,wickets,1481.8599524365777,1506.7169310082645,24.8569785716868,1494.2712646201917,1469.414286048505,-24.8569785716868,0.482146279756525
951325,2016-03-13,Himachal Pradesh Cricket Association Stadium,Netherlands,Ireland,12,runs,1471.2959588034475,1491.7083431209744,20.412384317526808,1493.2640133983223,1472.8516290807954,-20.412384317526808,0.4684274917310726
951327,2016-03-13,Himachal Pradesh Cricket Association Stadium,Bangladesh,Oman,54,runs,1435.5633467903147,1465.0518023911686,29.488455600853857,1516.447096722889,1486.958641122035,-29.488455600853857,0.38565717498221136
951329,2016-03-15,"Vidarbha Cricket Association Stadium, Jamtha",New Zealand,India,47,runs,1497.1781773101147,1526.5380462615346,29.359868951419966,1576.1002378889343,1546.7403689375144,-29.359868951419966,0.388336063512084
951331,2016-03-16,Wankhede Stadium,West Indies,England,6,wickets,1529.6301738398156,1549.5493659788026,19.91919213898703,1469.9750229912531,1450.0558308522661,-19.91919213898703,0.5850168304377702
951333,2016-03-16,Eden Gardens,Pakistan,Bangladesh,55,runs,1494.6774254388074,1516.6359053778622,21.958479939054758,1465.0518023911686,1443.0933224521139,-21.958479939054758,0.5425316679363592
951337,2016-03-18,Himachal Pradesh Cricket Association Stadium,New Zealand,Australia,8,runs,1526.5380462615346,1539.706861267207,13.168815005672375,1464.4056650433129,1451.2368500376406,-13.168815005672375,0.5884745310727383
951339,2016-03-18,Wankhede Stadium,England,South Africa,2,wickets,1450.0558308522661,1468.9099019496707,18.85407109740447,1512.7013753708247,1493.8473042734204,-18.85407109740447,0.4108102782061102
951341,2016-03-19,Eden Gardens,India,Pakistan,6,wickets,1546.7403689375144,1568.6660149544587,21.925646016944363,1516.6359053778622,1494.710259360918,-21.925646016944363,0.5432157079803258
951345,2016-03-20,M Chinnaswamy Stadium,West Indies,Sri Lanka,7,wickets,1549.5493659788026,1575.9620749147173,26.412708935914704,1584.595285307036,1558.1825763711213,-26.412708935914704,0.44973523050177694
951347,2016-03-21,M Chinnaswamy Stadium,Australia,Bangladesh,3,wickets,1451.2368500376406,1469.9869044670102,18.750054429369534,1443.0933224521139,1424.3432680227443,-18.750054429369534,0.5117173325685017
951349,2016-03-22,"Punjab Cricket Association IS Bindra Stadium, Mohali",New Zealand,Pakistan,22,runs,1539.706861267207,1556.4340671125003,16.727205845293273,1494.710259360918,1477.9830535156245,-16.727205845293273,0.5643956811121543
951353,2016-03-23,M Chinnaswamy Stadium,India,Bangladesh,1,runs,1568.6660149544587,1578.3773227567533,9.711307802294577,1424.3432680227443,1414.6319602204496,-9.711307802294577,0.6965216311782945
951357,2016-03-25,"Vidarbha Cricket Association Stadium, Jamtha",West Indies,South Africa,3,wickets,1575.9620749147173,1590.706891888145,14.744816973427739,1493.8473042734204,1479.1024872999926,-14.744816973427739,0.6160203913169859
951355,2016-03-25,"Punjab Cricket Association IS Bindra Stadium, Mohali",Australia,Pakistan,21,runs,1469.9869044670102,1489.6287099910717,19.64180552406142,1477.9830535156245,1458.341247991563,-19.64180552406142,0.4884946478109005
951359,2016-03-26,Eden Gardens,New Zealand,Bangladesh,75,runs,1556.4340671125003,1571.148668342303,14.714601229802687,1414.6319602204496,1399.917358990647,-14.714601229802687,0.693445807712444
951361,2016-03-26,Feroz Shah Kotla,England,Sri Lanka,10,runs,1468.9099019496707,1492.9375141307166,24.027612181045995,1558.1825763711213,1534.1549641900754,-24.027612181045995,0.3742809327852605
951363,2016-03-27,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,Australia,6,wickets,1578.3773227567533,1596.376732606105,17.999409849351572,1489.6287099910717,1471.62930014172,-17.999409849351572,0.6250122948051756
951367,2016-03-28,Feroz Shah Kotla,South Africa,Sri Lanka,8,wickets,1479.1024872999926,1506.8738669592028,27.771379659210147,1534.1549641900754,1506.3835845308652,-27.771379659210147,0.4214295904331219
951369,2016-03-30,Feroz Shah Kotla,England,New Zealand,7,wickets,1492.9375141307166,1522.2507034060725,29.31318927535587,1571.148668342303,1541.835479066947,-29.31318927535587,0.38930855676341936
951371,2016-03-31,Wankhede Stadium,West Indies,India,7,wickets,1590.706891888145,1615.0985158453564,24.391623957211348,1596.376732606105,1571.9851086488936,-24.391623957211348,0.491841167558097
951373,2016-04-03,Eden Gardens,West Indies,England,4,wickets,1615.0985158453564,1629.286308920163,14.187793074806672,1522.2507034060725,1508.0629103312658,-14.187793074806672,0.6305262220102429
1273713,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Bangladesh,6,runs,1506.7169310082645,1517.947901284231,11.230970275966552,1399.917358990647,1388.6863887146806,-11.230970275966552,0.6490321788760453
1273712,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Papua New Guinea,10,wickets,1486.958641122035,1511.8590834238942,24.900442301859183,1500.0,1475.0995576981409,-24.900442301859183,0.4812407853779337
1273714,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Ireland,Netherlands,7,wickets,1472.8516290807954,1498.1529272614614,25.30129818066591,1491.7083431209744,1466.4070449403084,-25.30129818066591,0.4728896212361268
1273715,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,Namibia,7,wickets,1506.3835845308652,1529.9426717472234,23.55908721635818,1500.0,1476.4409127836418,-23.55908721635818,0.509185682992538
1273716,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Papua New Guinea,17,runs,1517.947901284231,1534.7919466398566,16.84404535562574,1475.0995576981409,1458.2555123425152,-16.84404535562574,0.5613529855305797
1273717,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Oman,26,runs,1388.6863887146806,1414.4216380621278,25.735249347447205,1511.8590834238942,1486.1238340764469,-25.735249347447205,0.32981121491022897
1273718,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Namibia,Netherlands,6,wickets,1476.4409127836418,1499.747990379531,23.307077595889208,1466.4070449403084,1443.0999673444192,-23.307077595889208,0.5144358834189748
1273719,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,Ireland,70,runs,1529.9426717472234,1551.7528216752262,21.81014992800283,1498.1529272614614,1476.3427773334586,-21.81014992800283,0.5456218764999411
1273720,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Papua New Guinea,84,runs,1414.4216380621278,1441.4336108711698,27.0119728090419,1458.2555123425152,1431.2435395334733,-27.0119728090419,0.43725056647829375
