rank,player,rating,matches
158,JP Duminy,1499.2907621096763,6
159,PW Borren,1499.2755350066518,9
160,Mudassar Bukhari,1499.2755350066518,9
161,W Barresi,1499.2755350066518,9
162,MA Wood,1499.2655391963754,9
163,WD Parnell,1499.1974370881155,6
164,BA King,1499.1476550172522,6
165,EJG Morgan,1499.127505345868,13
166,MR Swart,1498.9937120536085,7
167,Mohammad Amir,1498.9072822282603,7
168,M Theekshana,1498.8286317720074,17
169,DM de Silva,1498.482428887927,9
170,HG Munsey,1498.4024029742468,15
171,MRJ Watt,1498.4024029742468,15
172,RD Berrington,1498.4024029742468,15
173,MH Cross,1498.4024029742468,15
174,KIC Asalanka,1498.382493673207,15
175,P Nissanka,1498.3817831124968,17
176,Shoaib Malik,1498.2183974717427,11
177,RR Rossouw,1498.1866321359753,5
178,Nurul Hasan,1498.0931780895291,9
179,AD Poynter,1498.0616355251937,5
180,WTS Porterfield,1498.0616355251937,5
181,CN Greaves,1497.9568626170906,13
182,BTJ Wheal,1497.9568626170906,13
183,Simi Singh,1497.90062198359,7
184,JP Faulkner,1497.7271815687534,5
185,Mosaddek Hossain,1497.7074780892372,5
186,R Ngarava,1497.684355406939,7
187,RP Burl,1497.684355406939,7
188,RW Chakabva,1497.684355406939,7
189,B Muzarabani,1497.684355406939,7
190,W Madhevere,1497.684355406939,7
191,Nazmul Hossain Shanto,1497.5510459024053,11
192,NLTC Perera,1497.5150278189226,7
193,Jatinder Singh,1497.495490095972,5
194,CG Williams,1497.4411320496483,7
195,BD Glover,1497.1459199880771,5
196,T van der Gugten,1497.1152530208174,12
197,RE van der Merwe,1497.0348739319656,11
198,SJ Myburgh,1496.4214997548838,14
199,BKG Mendis,1496.3219602250922,10
200,MA Leask,1496.2169936578366,14
201,OC McCoy,1496.1255777053073,6
202,Umar Akmal,1496.0827342491286,8
203,Ahmed Shehzad,1496.0827342491286,8
204,Shahid Afridi,1496.0827342491286,8
205,SR Watson,1496.0230225824491,8
206,PBB Rajapaksa,1495.9624358998246,12
207,KJ O'Brien,1495.8867106217378,8
208,Taskin Ahmed,1495.802289162621,20
209,CS MacLeod,1495.7186698341388,8
210,Nasir Hossain,1495.7075804723756,6
211,JO Holder,1495.3765990799247,6
212,N Pooran,1494.952955777911,14
213,AJ Hosein,1494.952955777911,14
214,Sabbir Rahman,1494.7783947600215,9
215,JN Frylinck,1494.7611525586155,11
216,Vikramjit Singh,1494.7493093414485,9
217,B Shikongo,1494.733965574477,5
218,Sompal Kami,1494.6134848478882,5
219,Mohammad Naim,1494.4081508168765,7
220,PA van Meekeren,1494.3574899141465,15
221,ZE Green,1494.319103133189,9
222,SN Netravalkar,1494.0525469846918,5
223,Ali Khan,1494.0525469846918,5
224,Aaron Jones,1494.0525469846918,5
225,Harmeet Singh,1494.0525469846918,5
226,AGS Gous,1494.0525469846918,5
227,SR Taylor,1494.0525469846918,5
228,Kaleemullah,1493.953404482543,5
229,BN Cooper,1493.2092807079237,10
230,CN Ackermann,1493.167305181361,11
231,FJ Klaassen,1493.167305181361,11
232,KA Pollard,1493.1076828007517,5
233,SO Hetmyer,1493.1076828007517,5
234,Mehran Khan,1492.7995402997817,5
235,SM Sharif,1492.7364198115474,12
236,BM Scholtz,1492.6601596429994,12
237,TJG Pringle,1492.6081590601923,10
